day,time,demand,clearing price (CNY/MWh)
2021-12-19,13:00,31752.16,-80.0
2021-12-24,0:15,44226.25,-80.0
2021-12-24,0:30,43712.19,-80.0
2021-12-24,0:45,43271.42,-80.0
2021-12-24,1:00,43048.05,-80.0
2021-12-24,1:15,42359.53,-80.0
2021-12-24,1:30,42395.85,-80.0
2021-12-24,1:45,42087.13,-80.0
2021-12-24,2:00,42003.22,-80.0
2021-12-24,2:15,41609.3,-80.0
2021-12-24,2:30,41255.12,-80.0
2021-12-24,2:45,40983.01,-80.0
2021-12-24,3:00,40485.87,-80.0
2021-12-24,3:15,40626.38,-80.0
2021-12-24,3:30,40262.07,-80.0
2021-12-24,3:45,40085.86,-80.0
2021-12-24,4:00,40074.25,-80.0
2021-12-24,4:15,40337.79,-80.0
2021-12-24,4:30,40475.56,-80.0
2021-12-24,4:45,40749.73,-80.0
2021-12-24,5:00,40961.89,-80.0
2021-12-24,5:15,41584.1,-80.0
2021-12-24,5:30,42072.95,-80.0
2021-12-24,5:45,42440.53,-80.0
2021-12-24,6:00,41288.4,-80.0
2021-12-26,11:15,39655.97,-40.0
2021-12-26,11:30,37931.34,-40.0
2021-12-26,11:45,36992.34,-40.0
2021-12-26,12:00,36132.46,-40.0
2021-12-26,12:15,34957.7,-80.0
2021-12-26,12:30,35384.21,-80.0
2021-12-26,12:45,35680.82,-80.0
2021-12-26,13:00,36085.65,-80.0
2021-12-26,13:15,37024.78,-80.0
2021-12-26,13:30,36897.41,-80.0
2021-12-26,13:45,37554.16,-80.0
2021-12-26,14:00,37430.54,-80.0
2021-12-30,12:15,46609.96,-48.0
2021-12-30,12:30,46370.78,-48.0
2021-12-30,12:45,47071.21,-48.0
2021-12-30,13:00,47401.0,-48.0
2022-01-01,10:15,52961.3,-80.0
2022-01-01,10:30,52409.81,-80.0
2022-01-01,10:45,51901.11,-80.0
2022-01-01,11:00,51274.16,-80.0
2022-01-01,11:15,52353.67,-80.0
2022-01-01,11:30,51618.73,-80.0
2022-01-01,11:45,50702.72,-80.0
2022-01-01,12:00,49150.2,-80.0
2022-01-01,12:15,48406.55,-80.0
2022-01-01,12:30,48196.19,-80.0
2022-01-01,12:45,48648.44,-80.0
2022-01-01,13:00,48888.33,-80.0
2022-01-01,13:15,50164.63,-80.0
2022-01-01,13:30,50413.99,-80.0
2022-01-01,13:45,50692.48,-80.0
2022-01-01,14:00,50786.94,-80.0
2022-01-02,0:15,45660.35,-80.0
2022-01-02,0:30,45497.48,-80.0
2022-01-02,0:45,45157.02,-80.0
2022-01-02,1:00,44624.51,-80.0
2022-01-02,1:15,44583.25,-80.0
2022-01-02,1:30,44086.21,-80.0
2022-01-02,1:45,43694.47,-80.0
2022-01-02,2:00,43543.84,-80.0
2022-01-02,2:15,43187.55,-80.0
2022-01-02,2:30,43047.15,-80.0
2022-01-02,2:45,42862.85,-80.0
2022-01-02,3:00,42587.51,-80.0
2022-01-02,3:15,42273.3,-80.0
2022-01-02,3:30,42255.32,-80.0
2022-01-02,3:45,42274.14,-80.0
2022-01-02,4:00,41974.55,-80.0
2022-01-02,4:15,42004.48,-80.0
2022-01-02,4:30,42091.69,-80.0
2022-01-02,4:45,42192.87,-80.0
2022-01-02,5:00,42258.23,-80.0
2022-01-13,2:15,35067.51,-80.0
2022-01-13,2:30,34945.5,-80.0
2022-01-13,2:45,34774.31,-80.0
2022-01-13,3:00,34719.2,-80.0
2022-01-13,3:15,34252.99,-80.0
2022-01-13,3:30,34370.81,-80.0
2022-01-13,3:45,34232.35,-80.0
2022-01-13,4:00,34142.89,-80.0
2022-01-26,3:15,33390.81,-10.0
2022-01-26,3:30,33007.71,-10.0
2022-01-26,3:45,32955.52,-10.0
2022-01-26,4:00,32543.62,-10.0
2022-01-26,4:15,33121.27,-80.0
2022-01-26,4:30,33335.79,-80.0
2022-01-26,4:45,33836.34,-80.0
2022-01-26,5:00,33954.03,-80.0
2022-01-29,11:15,34142.88,-80.0
2022-01-29,11:30,32567.53,-80.0
2022-01-29,11:45,31407.62,-80.0
2022-01-29,12:00,29650.31,-80.0
2022-01-29,12:15,29554.14,-80.0
2022-01-29,12:30,29596.1,-80.0
2022-01-29,12:45,30639.99,-80.0
2022-01-29,13:00,29634.9,-80.0
2022-01-29,13:15,30647.65,-80.0
2022-01-29,13:30,31276.42,-80.0
2022-01-29,13:45,31771.72,-80.0
2022-01-29,14:00,32212.74,-80.0
2022-01-30,23:15,31102.18,-80.0
2022-01-30,23:30,31381.67,-80.0
2022-01-30,23:45,31112.73,-80.0
2022-01-30,24:00:00,30417.78,-80.0
2022-01-31,0:15,31175.28,-80.0
2022-01-31,0:30,30395.09,-80.0
2022-01-31,0:45,30052.01,-80.0
2022-01-31,1:00,29870.17,-80.0
2022-01-31,1:15,29338.15,-80.0
2022-01-31,1:30,29075.98,-80.0
2022-01-31,1:45,28842.3,-80.0
2022-01-31,2:00,28595.19,-80.0
2022-01-31,2:15,27860.31,-80.0
2022-01-31,2:30,27867.66,-80.0
2022-01-31,2:45,27803.34,-80.0
2022-01-31,3:00,27508.36,-80.0
2022-01-31,3:15,27804.75,-80.0
2022-01-31,3:30,27897.32,-80.0
2022-01-31,3:45,28093.73,-80.0
2022-01-31,4:00,28365.95,-80.0
2022-01-31,4:15,28944.04,-80.0
2022-01-31,4:30,28950.79,-80.0
2022-01-31,4:45,29146.42,-80.0
2022-01-31,5:00,28958.55,-80.0
2022-01-31,5:15,29451.54,-80.0
2022-01-31,5:30,29640.98,-80.0
2022-01-31,5:45,30023.93,-80.0
2022-01-31,6:00,29596.81,-80.0
2022-01-31,6:15,29276.64,-80.0
2022-01-31,6:30,28888.83,-80.0
2022-01-31,6:45,29250.9,-80.0
2022-01-31,7:00,29566.21,-80.0
2022-01-31,9:15,26122.87,-12.64
2022-01-31,9:30,26193.31,-12.64
2022-01-31,9:45,26651.55,-12.64
2022-01-31,10:00,26579.66,-12.64
2022-01-31,10:15,27046.29,-80.0
2022-01-31,10:30,27471.19,-80.0
2022-01-31,10:45,27375.64,-80.0
2022-01-31,11:00,27495.68,-80.0
2022-01-31,11:15,27490.31,-80.0
2022-01-31,11:30,27097.7,-80.0
2022-01-31,11:45,27235.48,-80.0
2022-01-31,12:00,26191.97,-80.0
2022-01-31,12:15,25512.48,-80.0
2022-01-31,12:30,25175.4,-80.0
2022-01-31,12:45,25283.42,-80.0
2022-01-31,13:00,25448.0,-80.0
2022-01-31,13:15,25653.87,-80.0
2022-01-31,13:30,25842.26,-80.0
2022-01-31,13:45,25974.36,-80.0
2022-01-31,14:00,26340.5,-80.0
2022-01-31,14:15,26587.41,-80.0
2022-01-31,14:30,26972.06,-80.0
2022-01-31,14:45,28117.12,-80.0
2022-01-31,15:00,28382.34,-80.0
2022-01-31,15:15,28448.79,-80.0
2022-01-31,15:30,28572.97,-80.0
2022-01-31,15:45,28702.7,-80.0
2022-01-31,16:00,29160.15,-80.0
2022-02-01,2:15,32871.57,-80.0
2022-02-01,2:30,32530.74,-80.0
2022-02-01,2:45,31915.41,-80.0
2022-02-01,3:00,31368.72,-80.0
2022-02-01,3:15,31078.22,-80.0
2022-02-01,3:30,30756.64,-80.0
2022-02-01,3:45,30320.89,-80.0
2022-02-01,4:00,30219.32,-80.0
2022-02-01,10:15,24692.42,-80.0
2022-02-01,10:30,25125.01,-80.0
2022-02-01,10:45,25363.76,-80.0
2022-02-01,11:00,25369.03,-80.0
2022-02-01,11:15,25410.61,-80.0
2022-02-01,11:30,25142.29,-80.0
2022-02-01,11:45,24980.33,-80.0
2022-02-01,12:00,24235.07,-80.0
2022-02-01,12:15,24101.12,-80.0
2022-02-01,12:30,23467.47,-80.0
2022-02-01,12:45,23513.27,-80.0
2022-02-01,13:00,23660.82,-80.0
2022-02-01,13:15,23468.46,-80.0
2022-02-01,13:30,23866.82,-80.0
2022-02-01,13:45,24677.74,-80.0
2022-02-01,14:00,24949.18,-80.0
2022-02-01,14:15,24968.32,-80.0
2022-02-01,14:30,25486.11,-80.0
2022-02-01,14:45,26545.18,-80.0
2022-02-01,15:00,26451.65,-80.0
2022-02-01,15:15,26735.32,-80.0
2022-02-01,15:30,27124.75,-80.0
2022-02-01,15:45,27928.05,-80.0
2022-02-01,16:00,28556.24,-80.0
2022-02-02,11:15,35164.76,-80.0
2022-02-02,11:30,34247.2,-80.0
2022-02-02,11:45,33227.97,-80.0
2022-02-02,12:00,31530.33,-80.0
2022-02-02,12:15,30745.32,-80.0
2022-02-02,12:30,30855.58,-80.0
2022-02-02,12:45,31665.1,-80.0
2022-02-02,13:00,31979.35,-80.0
2022-02-02,13:15,33000.96,-80.0
2022-02-02,13:30,33338.59,-80.0
2022-02-02,13:45,33506.55,-80.0
2022-02-02,14:00,33499.02,-80.0
2022-02-02,14:15,32519.34,-80.0
2022-02-02,14:30,31670.7,-80.0
2022-02-02,14:45,32342.15,-80.0
2022-02-02,15:00,32728.86,-80.0
2022-02-03,10:15,26532.86,-80.0
2022-02-03,10:30,26439.29,-80.0
2022-02-03,10:45,27149.45,-80.0
2022-02-03,11:00,28031.98,-80.0
2022-02-03,11:15,28166.55,-80.0
2022-02-03,11:30,27150.31,-80.0
2022-02-03,11:45,26822.95,-80.0
2022-02-03,12:00,25609.29,-80.0
2022-02-03,12:15,25421.89,-80.0
2022-02-03,12:30,25346.51,-80.0
2022-02-03,12:45,25421.32,-80.0
2022-02-03,13:00,25671.42,-80.0
2022-02-03,13:15,25752.58,-80.0
2022-02-03,13:30,26558.02,-80.0
2022-02-03,13:45,27046.59,-80.0
2022-02-03,14:00,27681.57,-80.0
2022-02-03,14:15,27563.1,-80.0
2022-02-03,14:30,28382.16,-80.0
2022-02-03,14:45,29016.26,-80.0
2022-02-03,15:00,29564.64,-80.0
2022-02-04,10:15,27365.03,-80.0
2022-02-04,10:30,26390.26,-80.0
2022-02-04,10:45,25733.66,-80.0
2022-02-04,11:00,24957.12,-80.0
2022-02-04,11:15,25959.58,-80.0
2022-02-04,11:30,24710.87,-80.0
2022-02-04,11:45,23696.4,-80.0
2022-02-04,12:00,23194.42,-80.0
2022-02-04,12:15,23615.61,-80.0
2022-02-04,12:30,23332.32,-80.0
2022-02-04,12:45,23377.25,-80.0
2022-02-04,13:00,23459.06,-80.0
2022-02-04,13:15,24136.51,-80.0
2022-02-04,13:30,24065.85,-80.0
2022-02-04,13:45,24616.51,-80.0
2022-02-04,14:00,24624.04,-80.0
2022-02-04,14:15,24569.43,-80.0
2022-02-04,14:30,24501.48,-80.0
2022-02-04,14:45,25586.92,-80.0
2022-02-04,15:00,26184.01,-80.0
2022-02-04,15:15,27096.49,-80.0
2022-02-04,15:30,27985.76,-80.0
2022-02-04,15:45,28964.27,-80.0
2022-02-04,16:00,31074.91,-80.0
2022-02-05,3:15,41139.02,-80.0
2022-02-05,3:30,41028.85,-80.0
2022-02-05,3:45,41001.91,-80.0
2022-02-05,4:00,41125.99,-80.0
2022-02-05,4:15,41133.13,-80.0
2022-02-05,4:30,41219.73,-80.0
2022-02-05,4:45,41315.42,-80.0
2022-02-05,5:00,41078.2,-80.0
2022-02-05,10:15,30545.34,-80.0
2022-02-05,10:30,29428.98,-80.0
2022-02-05,10:45,28375.95,-80.0
2022-02-05,11:00,27942.79,-80.0
2022-02-05,11:15,28827.25,-80.0
2022-02-05,11:30,27248.71,-80.0
2022-02-05,11:45,26420.35,-80.0
2022-02-05,12:00,25068.35,-80.0
2022-02-05,12:15,25537.4,-80.0
2022-02-05,12:30,25563.34,-80.0
2022-02-05,12:45,26085.41,-80.0
2022-02-05,13:00,26718.32,-80.0
2022-02-05,13:15,27879.96,-80.0
2022-02-05,13:30,28518.28,-80.0
2022-02-05,13:45,29406.14,-80.0
2022-02-05,14:00,30090.56,-80.0
2022-02-05,14:15,29673.08,-80.0
2022-02-05,14:30,30212.51,-80.0
2022-02-05,14:45,31016.95,-80.0
2022-02-05,15:00,32437.3,-80.0
2022-02-05,15:15,34113.87,-80.0
2022-02-05,15:30,35327.09,-80.0
2022-02-05,15:45,36989.42,-80.0
2022-02-05,16:00,38266.62,-80.0
2022-02-06,0:15,32690.72,-80.0
2022-02-06,0:30,32731.09,-80.0
2022-02-06,0:45,32676.21,-80.0
2022-02-06,1:00,31726.4,-80.0
2022-02-06,1:15,31524.89,-80.0
2022-02-06,1:30,30630.27,-80.0
2022-02-06,1:45,30798.69,-80.0
2022-02-06,2:00,30211.55,-80.0
2022-02-06,2:15,30277.89,-80.0
2022-02-06,2:30,30141.08,-80.0
2022-02-06,2:45,29698.04,-80.0
2022-02-06,3:00,29359.6,-80.0
2022-02-06,3:15,29355.99,-80.0
2022-02-06,3:30,29164.78,-80.0
2022-02-06,3:45,29456.88,-80.0
2022-02-06,4:00,29183.42,-80.0
2022-02-06,4:15,29626.54,-80.0
2022-02-06,4:30,29954.48,-80.0
2022-02-06,4:45,30399.91,-80.0
2022-02-06,5:00,30527.04,-80.0
2022-02-06,11:15,23326.98,-80.0
2022-02-06,11:30,22384.17,-80.0
2022-02-06,11:45,22563.46,-80.0
2022-02-06,12:00,22037.01,-80.0
2022-02-06,12:15,21681.44,-80.0
2022-02-06,12:30,21534.19,-80.0
2022-02-06,12:45,21495.94,-80.0
2022-02-06,13:00,21779.18,-80.0
2022-02-06,13:15,21678.3,-80.0
2022-02-06,13:30,21918.53,-80.0
2022-02-06,13:45,21887.63,-80.0
2022-02-06,14:00,21709.95,-80.0
2022-02-06,14:15,22011.71,-80.0
2022-02-06,14:30,22404.86,-80.0
2022-02-06,14:45,22818.68,-80.0
2022-02-06,15:00,23332.04,-80.0
2022-02-07,13:15,23617.35,-80.0
2022-02-07,13:30,23176.72,-80.0
2022-02-07,13:45,23267.02,-80.0
2022-02-07,14:00,23208.0,-80.0
2022-02-07,14:15,23459.49,-16.82
2022-02-07,14:30,23927.72,-16.82
2022-02-07,14:45,24623.6,-16.82
2022-02-07,15:00,25478.83,-16.82
2022-02-08,11:15,30428.86,-80.0
2022-02-08,11:30,29431.83,-80.0
2022-02-08,11:45,28389.49,-80.0
2022-02-08,12:00,27092.59,-80.0
2022-02-08,12:15,26271.53,-80.0
2022-02-08,12:30,25919.92,-80.0
2022-02-08,12:45,26761.27,-80.0
2022-02-08,13:00,27587.8,-80.0
2022-02-08,13:15,29131.81,-80.0
2022-02-08,13:30,29913.24,-80.0
2022-02-08,13:45,30875.83,-80.0
2022-02-08,14:00,31086.31,-80.0
2022-02-09,0:15,32945.86,-80.0
2022-02-09,0:30,33040.05,-80.0
2022-02-09,0:45,32731.5,-80.0
2022-02-09,1:00,32463.4,-80.0
2022-02-09,1:15,32267.58,-80.0
2022-02-09,1:30,32480.52,-80.0
2022-02-09,1:45,32185.73,-80.0
2022-02-09,2:00,32016.42,-80.0
2022-02-09,2:15,31701.29,-80.0
2022-02-09,2:30,31758.61,-80.0
2022-02-09,2:45,31642.07,-80.0
2022-02-09,3:00,31759.78,-80.0
2022-02-09,3:15,31503.56,-80.0
2022-02-09,3:30,31165.56,-80.0
2022-02-09,3:45,30863.3,-80.0
2022-02-09,4:00,30702.64,-80.0
2022-02-09,4:15,30933.67,-80.0
2022-02-09,4:30,31093.64,-80.0
2022-02-09,4:45,31332.2,-80.0
2022-02-09,5:00,31350.23,-80.0
2022-02-09,5:15,32207.25,-80.0
2022-02-09,5:30,32864.97,-80.0
2022-02-09,5:45,33940.14,-80.0
2022-02-09,6:00,34112.59,-80.0
2022-02-09,10:15,29858.68,-80.0
2022-02-09,10:30,29519.5,-80.0
2022-02-09,10:45,29700.63,-80.0
2022-02-09,11:00,29378.36,-80.0
2022-02-09,11:15,29927.35,-80.0
2022-02-09,11:30,28321.08,-80.0
2022-02-09,11:45,27551.47,-80.0
2022-02-09,12:00,25398.95,-80.0
2022-02-09,12:15,24529.04,-80.0
2022-02-09,12:30,23754.15,-80.0
2022-02-09,12:45,24468.21,-80.0
2022-02-09,13:00,24645.74,-80.0
2022-02-09,13:15,26454.9,-80.0
2022-02-09,13:30,27064.93,-80.0
2022-02-09,13:45,27710.41,-80.0
2022-02-09,14:00,27983.47,-80.0
2022-02-09,14:15,26665.9,-80.0
2022-02-09,14:30,26592.19,-80.0
2022-02-09,14:45,26993.59,-80.0
2022-02-09,15:00,27861.06,-80.0
2022-02-09,23:15,42886.0,-23.1
2022-02-09,23:30,42710.98,-23.1
2022-02-09,23:45,42243.36,-23.1
2022-02-09,24:00:00,41604.65,-23.1
2022-02-10,0:15,41811.33,-80.0
2022-02-10,0:30,41920.76,-80.0
2022-02-10,0:45,41480.01,-80.0
2022-02-10,1:00,41081.42,-80.0
2022-02-10,1:15,40361.73,-80.0
2022-02-10,1:30,40006.49,-80.0
2022-02-10,1:45,39842.45,-80.0
2022-02-10,2:00,39689.25,-80.0
2022-02-10,2:15,39524.33,-80.0
2022-02-10,2:30,39389.8,-80.0
2022-02-10,2:45,39177.83,-80.0
2022-02-10,3:00,39029.47,-80.0
2022-02-10,3:15,38725.24,-80.0
2022-02-10,3:30,38514.92,-80.0
2022-02-10,3:45,37960.87,-80.0
2022-02-10,4:00,38403.73,-80.0
2022-02-10,4:15,38286.18,-80.0
2022-02-10,4:30,38000.79,-80.0
2022-02-10,4:45,37849.68,-80.0
2022-02-10,5:00,38252.83,-80.0
2022-02-10,5:15,38670.89,-80.0
2022-02-10,5:30,39537.56,-80.0
2022-02-10,5:45,40176.25,-80.0
2022-02-10,6:00,39936.81,-80.0
2022-02-10,6:15,40119.03,-30.5
2022-02-10,6:30,40352.79,-30.5
2022-02-10,6:45,40735.85,-30.5
2022-02-10,7:00,40009.13,-30.5
2022-02-10,10:15,27393.57,-80.0
2022-02-10,10:30,26622.31,-80.0
2022-02-10,10:45,26046.76,-80.0
2022-02-10,11:00,25784.9,-80.0
2022-02-10,11:15,26821.62,-80.0
2022-02-10,11:30,26075.89,-80.0
2022-02-10,11:45,25005.06,-80.0
2022-02-10,12:00,24109.24,-80.0
2022-02-10,12:15,25077.34,-80.0
2022-02-10,12:30,24541.23,-80.0
2022-02-10,12:45,25106.24,-80.0
2022-02-10,13:00,25093.37,-80.0
2022-02-10,13:15,25880.44,-80.0
2022-02-10,13:30,25547.65,-80.0
2022-02-10,13:45,26129.4,-80.0
2022-02-10,14:00,26197.35,-80.0
2022-02-10,14:15,25725.48,-80.0
2022-02-10,14:30,25991.1,-80.0
2022-02-10,14:45,26956.3,-80.0
2022-02-10,15:00,27562.79,-80.0
2022-02-11,1:15,38272.11,-9.6
2022-02-11,1:30,37178.15,-9.6
2022-02-11,1:45,36813.29,-9.6
2022-02-11,2:00,36828.17,-9.6
2022-02-11,2:15,36567.69,-80.0
2022-02-11,2:30,36440.13,-80.0
2022-02-11,2:45,36675.1,-80.0
2022-02-11,3:00,36283.49,-80.0
2022-02-11,3:15,36090.16,-80.0
2022-02-11,3:30,36094.5,-80.0
2022-02-11,3:45,35958.98,-80.0
2022-02-11,4:00,36498.59,-80.0
2022-02-11,4:15,36368.35,-24.28
2022-02-11,4:30,36643.2,-24.28
2022-02-11,4:45,36710.63,-24.28
2022-02-11,5:00,37074.72,-24.28
2022-02-12,3:15,28956.68,-80.0
2022-02-12,3:30,28887.01,-80.0
2022-02-12,3:45,28679.0,-80.0
2022-02-12,4:00,28615.54,-80.0
2022-02-12,4:15,28893.63,-27.3
2022-02-12,4:30,29112.19,-27.3
2022-02-12,4:45,29285.5,-27.3
2022-02-12,5:00,29980.22,-27.3
2022-02-13,1:15,38059.86,-49.5
2022-02-13,1:30,38093.43,-49.5
2022-02-13,1:45,38360.23,-49.5
2022-02-13,2:00,38341.27,-49.5
2022-02-13,2:15,38281.04,-80.0
2022-02-13,2:30,38684.5,-80.0
2022-02-13,2:45,38711.78,-80.0
2022-02-13,3:00,38640.32,-80.0
2022-02-13,3:15,38533.32,-80.0
2022-02-13,3:30,38701.61,-80.0
2022-02-13,3:45,38654.37,-80.0
2022-02-13,4:00,38571.76,-80.0
2022-02-13,4:15,39140.13,-80.0
2022-02-13,4:30,38854.07,-80.0
2022-02-13,4:45,39353.51,-80.0
2022-02-13,5:00,39396.12,-80.0
2022-02-13,5:15,40199.85,-80.0
2022-02-13,5:30,40445.14,-80.0
2022-02-13,5:45,40859.68,-80.0
2022-02-13,6:00,40604.02,-80.0
2022-02-13,6:15,40194.59,-80.0
2022-02-13,6:30,40573.17,-80.0
2022-02-13,6:45,40543.72,-80.0
2022-02-13,7:00,39836.31,-80.0
2022-02-13,12:15,25481.44,-43.06
2022-02-13,12:30,24749.05,-43.06
2022-02-13,12:45,25587.29,-43.06
2022-02-13,13:00,26098.81,-43.06
2022-02-14,4:15,33890.9,-44.5
2022-02-14,4:30,33637.39,-44.5
2022-02-14,4:45,33359.96,-44.5
2022-02-14,5:00,33409.43,-44.5
2022-02-14,12:15,39147.4,-60.0
2022-02-14,12:30,39458.0,-60.0
2022-02-14,12:45,40339.64,-60.0
2022-02-14,13:00,41503.05,-60.0
2022-02-19,3:15,23891.32,-80.0
2022-02-19,3:30,23724.14,-80.0
2022-02-19,3:45,23765.76,-80.0
2022-02-19,4:00,23666.98,-80.0
2022-02-19,4:15,23907.25,-80.0
2022-02-19,4:30,23999.46,-80.0
2022-02-19,4:45,24286.68,-80.0
2022-02-19,5:00,24457.48,-80.0
2022-02-19,5:15,25226.17,-80.0
2022-02-19,5:30,25646.75,-80.0
2022-02-19,5:45,26183.18,-80.0
2022-02-19,6:00,26211.89,-80.0
2022-02-19,6:15,26770.22,-80.0
2022-02-19,6:30,27683.35,-80.0
2022-02-19,6:45,27794.33,-80.0
2022-02-19,7:00,27009.28,-80.0
2022-02-19,9:15,30473.87,-39.63
2022-02-19,9:30,30585.37,-39.63
2022-02-19,9:45,30336.46,-39.63
2022-02-19,10:00,30824.72,-39.63
2022-02-19,10:15,31887.99,-80.0
2022-02-19,10:30,32784.75,-80.0
2022-02-19,10:45,32582.21,-80.0
2022-02-19,11:00,32766.37,-80.0
2022-02-19,11:15,33315.13,-80.0
2022-02-19,11:30,32882.46,-80.0
2022-02-19,11:45,32026.5,-80.0
2022-02-19,12:00,30562.97,-80.0
2022-02-19,12:15,29380.0,-80.0
2022-02-19,12:30,29194.76,-80.0
2022-02-19,12:45,29815.82,-80.0
2022-02-19,13:00,29929.03,-80.0
2022-02-19,13:15,31652.43,-80.0
2022-02-19,13:30,32607.14,-80.0
2022-02-19,13:45,33155.32,-80.0
2022-02-19,14:00,33017.13,-80.0
2022-02-19,14:15,32584.34,-80.0
2022-02-19,14:30,31950.25,-80.0
2022-02-19,14:45,31503.65,-80.0
2022-02-19,15:00,30814.36,-80.0
2022-02-19,15:15,31874.54,-30.88
2022-02-19,15:30,32418.34,-30.88
2022-02-19,15:45,32905.01,-30.88
2022-02-19,16:00,33399.95,-30.88
2022-02-20,10:15,40287.09,-80.0
2022-02-20,10:30,40433.92,-80.0
2022-02-20,10:45,40441.63,-80.0
2022-02-20,11:00,40099.0,-80.0
2022-02-20,11:15,40501.32,-80.0
2022-02-20,11:30,39639.64,-80.0
2022-02-20,11:45,38091.12,-80.0
2022-02-20,12:00,36670.71,-80.0
2022-02-20,12:15,35937.08,-80.0
2022-02-20,12:30,35995.75,-80.0
2022-02-20,12:45,36903.95,-80.0
2022-02-20,13:00,37075.53,-80.0
2022-02-20,13:15,37854.7,-80.0
2022-02-20,13:30,39361.13,-80.0
2022-02-20,13:45,40548.91,-80.0
2022-02-20,14:00,40899.89,-80.0
2022-02-20,14:15,40851.59,-80.0
2022-02-20,14:30,41013.2,-80.0
2022-02-20,14:45,41898.08,-80.0
2022-02-20,15:00,41681.39,-80.0
2022-02-21,12:15,26694.66,-80.0
2022-02-21,12:30,26180.35,-80.0
2022-02-21,12:45,26536.64,-80.0
2022-02-21,13:00,26873.06,-80.0
